,Subrun,Event,Type,Num,Pred,Prob,ystart,yend,ydiff,length
0,397,19811,Muon,0.0,0.0,0.948474,-8.36658,117.296,125.663,175.309
1,335,16708,Muon,0.0,0.0,0.708275,-37.5885,-75.6292,38.0407,149.165
2,284,14155,Muon,0.0,0.0,0.679436,-115.445,26.5442,141.989,146.946
3,362,18064,Muon,0.0,0.0,0.814762,-14.117,-30.3513,16.2342,42.5592
4,336,16780,Muon,0.0,0.0,0.947192,-14.6585,-97.7344,83.0759,254.379
5,209,10422,Muon,0.0,0.0,0.718768,23.8869,-115.257,139.144,140.174
6,377,18825,Muon,0.0,0.0,0.919695,28.6042,49.6453,21.041,78.3585
7,377,18825,Muon,0.0,0.0,0.919695,28.6244,28.0411,0.583353,2.50422
8,238,11861,Muon,0.0,0.0,0.948743,-62.7058,117.55,180.255,218.326
9,209,10431,Muon,0.0,0.0,0.947956,116.793,7.73859,109.054,179.573
10,239,11924,Muon,0.0,0.0,0.78301,-115.457,-84.8549,30.6026,37.2655
11,8,359,Muon,0.0,0.0,0.945728,-14.76,26.1132,40.8732,102.436
12,389,19429,Muon,0.0,0.0,0.838179,-92.1338,-96.7071,4.57326,18.1574
13,364,18161,Muon,0.0,0.0,0.822,85.0052,117.462,32.4565,47.3845
14,157,7815,Muon,0.0,0.0,0.962512,-51.706,23.3608,75.0669,305.322
15,271,13522,Muon,0.0,0.0,0.740656,-57.327,-50.76,6.56697,22.2362
16,283,14125,Muon,0.0,0.0,0.687742,-64.1327,-71.2682,7.13546,97.348
17,335,16730,Muon,0.0,0.0,0.944534,-24.2892,117.384,141.674,184.136
18,351,17505,Muon,0.0,0.0,0.734047,-7.9168,-5.94469,1.97211,6.31003
19,351,17505,Muon,0.0,0.0,0.734047,-10.2967,-12.2767,1.97998,3.48978
20,242,12058,Muon,0.0,0.0,0.787457,89.8072,117.281,27.4734,35.6227
21,211,10542,Muon,0.0,0.0,0.75651,35.3147,39.4754,4.16074,13.8496
22,387,19342,Muon,0.0,0.0,0.932544,34.2242,61.3355,27.1113,80.1823
