,Subrun,Event,Type,Num,Pred,Prob,ystart,yend,ydiff,length,Eng,Michel
0,397,19820,Pion,1.0,1.0,0.988612,57.0459,73.9027,16.8568,22.2482,0.707915,0
1,259,12935,Pion,1.0,0.0,0.662441,-36.2068,-34.4671,1.73973,32.4448,1.62372,0
2,208,10380,Pion,1.0,1.0,0.83856,-4.48822,-78.2509,73.7627,95.54,0.776167,0
3,208,10380,Pion,1.0,1.0,0.83856,-73.8725,-91.1535,17.281,36.7375,0.776167,0
4,132,6573,Pion,1.0,1.0,0.733984,41.8898,42.9757,1.08582,7.82797,0.181409,0
5,141,7028,Pion,1.0,0.0,0.774758,45.4267,49.7264,4.29974,23.4943,1.66982,0
6,141,7028,Pion,1.0,0.0,0.774758,45.3479,43.5048,1.84308,10.4713,1.66982,0
7,194,9665,Pion,1.0,0.0,0.948313,-19.4625,117.381,136.844,191.02,1.1075,0
8,156,7754,Pion,1.0,1.0,0.624528,-44.1958,-26.9758,17.22,29.6471,0.394068,0
9,215,10733,Pion,1.0,1.0,0.998592,8.71343,11.1366,2.42313,11.3575,1.23429,0
10,141,7022,Pion,1.0,1.0,0.680266,-29.9185,-50.5642,20.6457,27.6268,0.238989,0
11,141,7022,Pion,1.0,1.0,0.680266,-45.9003,-49.3587,3.45842,6.52744,0.238989,0
12,130,6462,Pion,1.0,1.0,0.996602,-103.308,29.8106,133.118,196.902,1.89536,0
13,264,13160,Pion,1.0,0.0,0.729846,67.8241,18.4916,49.3325,49.3664,0.552751,0
14,210,10497,Pion,1.0,1.0,0.910653,30.8464,30.8971,0.0506973,18.2531,0.798291,0
15,229,11418,Pion,1.0,0.0,0.828546,96.0716,91.9221,4.14956,55.1554,0.886238,0
16,148,7362,Pion,1.0,1.0,0.996652,-17.1262,-47.8321,30.706,45.294,0.54958,0
17,265,13205,Pion,1.0,0.0,0.635214,8.69288,-9.802,18.4949,24.577,0.360728,0
18,265,13205,Pion,1.0,0.0,0.635214,10.27,16.1894,5.91932,6.01877,0.360728,0
19,270,13492,Pion,1.0,1.0,0.999953,56.8305,15.1724,41.658,81.2896,0.718365,0
20,205,10250,Pion,1.0,1.0,0.998212,-17.343,-81.3025,63.9594,165.526,1.89643,0
21,188,9389,Pion,1.0,1.0,0.990207,-86.1939,-90.9663,4.77245,13.5493,1.31838,0
22,223,11124,Pion,1.0,1.0,0.763767,-63.555,-32.0456,31.5094,62.0978,0.867531,0
23,198,9874,Pion,1.0,1.0,0.946221,18.4239,13.3041,5.11976,13.0886,1.51726,0
24,217,10813,Pion,1.0,1.0,0.999828,11.8594,30.2746,18.4151,24.337,0.960077,0
25,208,10365,Pion,1.0,1.0,0.902946,-26.6552,9.99317,36.6484,48.9224,0.287165,0
26,220,10960,Pion,1.0,1.0,0.755321,-19.1833,-11.7462,7.43713,13.1017,0.204031,0
27,140,6989,Pion,1.0,0.0,0.618181,5.51387,111.08,105.566,129.146,0.489641,0
28,192,9569,Pion,1.0,0.0,0.754742,117.43,63.4393,53.9908,57.9853,0.876385,0
29,214,10673,Pion,1.0,0.0,0.72992,-89.2154,-99.2189,10.0035,23.5666,0.96804,0
30,267,13330,Pion,1.0,1.0,0.999731,-42.5045,-31.4696,11.0348,17.7741,0.624358,0
31,229,11424,Pion,1.0,1.0,0.999817,67.5722,77.5819,10.0096,142.782,1.73257,0
32,157,7849,Pion,1.0,1.0,0.998725,37.6445,13.9698,23.6747,70.586,1.83851,0
33,198,9893,Pion,1.0,1.0,0.775868,49.0531,-8.51312,57.5662,59.0327,1.21215,0
34,130,6477,Pion,1.0,1.0,0.998422,-97.2996,-80.2402,17.0594,32.6513,0.253002,0
35,187,9307,Pion,1.0,1.0,0.999194,-1.11669,-35.5377,34.421,36.4397,0.373912,0
36,137,6835,Pion,1.0,1.0,0.941,-51.4015,-52.5841,1.18254,22.1991,0.802967,0
37,152,7561,Pion,1.0,1.0,0.991918,41.0952,50.3179,9.22274,12.7566,0.537428,0
38,265,13206,Pion,1.0,1.0,0.998315,61.7902,57.692,4.09823,33.4869,0.840263,0
39,208,10389,Pion,1.0,1.0,0.993317,-16.3185,39.1655,55.484,81.8042,1.02273,0
40,142,7071,Pion,1.0,0.0,0.940318,78.5543,56.6101,21.9443,110.526,1.0233,0
