Type  Num0  Pred  Prob
Pion  1.000000  1.000000  0.816874
Muon  0.000000  0.000000  0.869918
Muon  0.000000  0.000000  0.788670
Muon  0.000000  0.000000  0.769708
Pion  1.000000  1.000000  0.737756
Pion  1.000000  1.000000  0.999784
Pion  1.000000  1.000000  0.999931
Muon  0.000000  0.000000  0.768107
Pion  1.000000  0.000000  0.734388
Muon  0.000000  0.000000  0.919150
Muon  0.000000  0.000000  0.913167
Pion  1.000000  1.000000  0.996098
Muon  0.000000  0.000000  0.837146
Muon  0.000000  0.000000  0.949841
Pion  1.000000  0.000000  0.821389
Pion  1.000000  1.000000  0.803314
Muon  0.000000  0.000000  0.839687
Pion  1.000000  1.000000  0.999933
Muon  0.000000  0.000000  0.914145
Pion  1.000000  0.000000  0.543401
Pion  1.000000  1.000000  0.999983
Pion  1.000000  1.000000  0.994056
Pion  1.000000  1.000000  0.999296
Muon  0.000000  0.000000  0.565097
Muon  0.000000  1.000000  0.540655
Muon  0.000000  0.000000  0.843825
Pion  1.000000  1.000000  0.815931
Muon  0.000000  0.000000  0.941764
Pion  1.000000  1.000000  0.797370
Pion  1.000000  1.000000  0.892554
Pion  1.000000  1.000000  0.844998
Muon  0.000000  0.000000  0.776784
Pion  1.000000  1.000000  0.995050
Muon  0.000000  0.000000  0.817430
Muon  0.000000  0.000000  0.780067
Muon  0.000000  0.000000  0.954741
Muon  0.000000  0.000000  0.853520
Muon  0.000000  0.000000  0.762651
Muon  0.000000  0.000000  0.687679
Pion  1.000000  1.000000  0.981205
Pion  1.000000  0.000000  0.895571
Pion  1.000000  1.000000  0.999463
Pion  1.000000  0.000000  0.691120
Muon  0.000000  0.000000  0.949469
Pion  1.000000  0.000000  0.964400
Muon  0.000000  0.000000  0.858376
Muon  0.000000  0.000000  0.842977
Pion  1.000000  1.000000  0.905969
Muon  0.000000  0.000000  0.830157
Muon  0.000000  0.000000  0.858018
Muon  0.000000  0.000000  0.922551
Pion  1.000000  1.000000  0.994118
Pion  1.000000  0.000000  0.795229
Muon  0.000000  0.000000  0.869988
Muon  0.000000  0.000000  0.934771
Muon  0.000000  1.000000  0.893041
Pion  1.000000  1.000000  0.578762
Pion  1.000000  1.000000  0.987598
Muon  0.000000  0.000000  0.928590
Pion  1.000000  1.000000  0.998958
Pion  1.000000  1.000000  0.941368
Muon  0.000000  0.000000  0.685347
Muon  0.000000  0.000000  0.934806
Pion  1.000000  1.000000  0.978868
Pion  1.000000  1.000000  0.633737
Muon  0.000000  0.000000  0.853844
Pion  1.000000  1.000000  0.999999
Pion  1.000000  1.000000  0.999899
Muon  0.000000  0.000000  0.817514
Muon  0.000000  0.000000  0.955685
Muon  0.000000  0.000000  0.672735
Pion  1.000000  1.000000  0.991361
Pion  1.000000  1.000000  0.676048
Muon  0.000000  0.000000  0.870502
Muon  0.000000  1.000000  0.663373
Muon  0.000000  0.000000  0.949233
Pion  1.000000  1.000000  0.955228
Pion  1.000000  0.000000  0.804245
Muon  0.000000  0.000000  0.876029
Muon  0.000000  0.000000  0.940145
Muon  0.000000  0.000000  0.963684
Pion  1.000000  1.000000  0.999091
Muon  0.000000  0.000000  0.956437
Muon  0.000000  0.000000  0.762422
Pion  1.000000  1.000000  0.994307
Pion  1.000000  1.000000  0.996092
Pion  1.000000  0.000000  0.810706
Muon  0.000000  0.000000  0.857032
Muon  0.000000  0.000000  0.593672
Muon  0.000000  0.000000  0.962339
Muon  0.000000  0.000000  0.817204
Pion  1.000000  0.000000  0.767508
Muon  0.000000  1.000000  0.828798
Muon  0.000000  0.000000  0.848864
Pion  1.000000  0.000000  0.947811
Pion  1.000000  0.000000  0.672735
Pion  1.000000  1.000000  0.996585
Pion  1.000000  1.000000  0.758835
Pion  1.000000  0.000000  0.732973
Pion  1.000000  1.000000  0.680366
Muon  0.000000  0.000000  0.954833
Pion  1.000000  1.000000  0.997468
Pion  1.000000  1.000000  0.999964
Muon  0.000000  0.000000  0.696752
Muon  0.000000  0.000000  0.732579
Muon  0.000000  0.000000  0.954663
Pion  1.000000  1.000000  0.999795
Muon  0.000000  0.000000  0.964129
Muon  0.000000  0.000000  0.566862
Pion  1.000000  1.000000  0.986764
Pion  1.000000  0.000000  0.552065
Pion  1.000000  1.000000  0.999998
Muon  0.000000  0.000000  0.875566
Pion  1.000000  1.000000  0.990765
Muon  0.000000  0.000000  0.865056
Muon  0.000000  0.000000  0.715990
Pion  1.000000  1.000000  0.999907
Muon  0.000000  0.000000  0.868408
Pion  1.000000  1.000000  0.999736
Pion  1.000000  1.000000  0.528334
Muon  0.000000  0.000000  0.932217
Pion  1.000000  1.000000  0.999164
Muon  0.000000  0.000000  0.918508
Muon  0.000000  0.000000  0.919073
Pion  1.000000  1.000000  0.998866
Muon  0.000000  0.000000  0.672735
Muon  0.000000  1.000000  0.849187
Pion  1.000000  1.000000  0.999672
Pion  1.000000  0.000000  0.943690
Pion  1.000000  1.000000  0.996341
Muon  0.000000  0.000000  0.935902
Muon  0.000000  0.000000  0.928795
Pion  1.000000  1.000000  0.794439
Pion  1.000000  0.000000  0.661708
Pion  1.000000  1.000000  0.992224
Pion  1.000000  1.000000  0.514935
Pion  1.000000  1.000000  0.999588
Muon  0.000000  0.000000  0.838487
Muon  0.000000  0.000000  0.950501
Pion  1.000000  0.000000  0.871999
Muon  0.000000  0.000000  0.739896
Muon  0.000000  1.000000  0.546193
Pion  1.000000  1.000000  0.749261
Pion  1.000000  1.000000  0.547821
Pion  1.000000  1.000000  0.983663
Pion  1.000000  1.000000  0.993891
Pion  1.000000  0.000000  0.751127
Muon  0.000000  0.000000  0.770228
Muon  0.000000  0.000000  0.863924
Muon  0.000000  0.000000  0.635327
Pion  1.000000  0.000000  0.698215
Muon  0.000000  0.000000  0.890189
Pion  1.000000  1.000000  1.000000
Muon  0.000000  0.000000  0.672735
Pion  1.000000  1.000000  0.652324
Muon  0.000000  0.000000  0.894406
Muon  0.000000  0.000000  0.911667
Pion  1.000000  1.000000  0.999955
Pion  1.000000  1.000000  0.999097
Pion  1.000000  0.000000  0.555203
Pion  1.000000  1.000000  0.999935
Muon  0.000000  0.000000  0.676806
Muon  0.000000  0.000000  0.868076
Pion  1.000000  1.000000  0.990011
Pion  1.000000  1.000000  0.999828
Pion  1.000000  0.000000  0.706304
Muon  0.000000  0.000000  0.926874
Pion  1.000000  0.000000  0.926835
Muon  0.000000  0.000000  0.666837
Pion  1.000000  1.000000  0.999462
Pion  1.000000  1.000000  0.992207
Muon  0.000000  0.000000  0.776529
Muon  0.000000  0.000000  0.881613
Muon  0.000000  0.000000  0.757555
Muon  0.000000  0.000000  0.751225
Pion  1.000000  1.000000  0.999837
Pion  1.000000  1.000000  0.837341
Pion  1.000000  1.000000  0.989369
Pion  1.000000  0.000000  0.904359
Pion  1.000000  0.000000  0.947719
Muon  0.000000  0.000000  0.891020
Pion  1.000000  1.000000  0.781107
Muon  0.000000  0.000000  0.902118
Muon  0.000000  0.000000  0.951833
Muon  0.000000  1.000000  0.724533
Muon  0.000000  0.000000  0.580164
Pion  1.000000  0.000000  0.737612
Pion  1.000000  1.000000  0.995084
Muon  0.000000  0.000000  0.743747
Muon  0.000000  0.000000  0.942219
Pion  1.000000  0.000000  0.770148
Muon  0.000000  0.000000  0.921984
Pion  1.000000  1.000000  0.989250
Muon  0.000000  0.000000  0.944345
Muon  0.000000  0.000000  0.955312
Muon  0.000000  0.000000  0.722818
Pion  1.000000  1.000000  0.963318
Pion  1.000000  0.000000  0.932647
Pion  1.000000  1.000000  0.999852
Muon  0.000000  0.000000  0.775130
Muon  0.000000  0.000000  0.933766
Pion  1.000000  1.000000  0.842770
Muon  0.000000  0.000000  0.678411
Pion  1.000000  1.000000  0.999483
Muon  0.000000  0.000000  0.765957
Muon  0.000000  0.000000  0.882479
Muon  0.000000  1.000000  0.825560
Pion  1.000000  1.000000  0.910467
Pion  1.000000  1.000000  0.648502
Pion  1.000000  1.000000  0.946464
Muon  0.000000  0.000000  0.851304
Pion  1.000000  1.000000  0.619870
Pion  1.000000  1.000000  0.976678
Muon  0.000000  1.000000  0.917706
Muon  0.000000  0.000000  0.928248
Pion  1.000000  0.000000  0.845245
Muon  0.000000  0.000000  0.805403
Pion  1.000000  1.000000  0.750148
Muon  0.000000  0.000000  0.959337
Pion  1.000000  1.000000  0.838539
Muon  0.000000  0.000000  0.903197
Pion  1.000000  1.000000  0.684591
Muon  0.000000  0.000000  0.846916
Pion  1.000000  1.000000  0.999991
Muon  0.000000  0.000000  0.768385
Pion  1.000000  0.000000  0.651770
Pion  1.000000  0.000000  0.749357
Muon  0.000000  0.000000  0.798172
Pion  1.000000  0.000000  0.744327
Pion  1.000000  1.000000  0.769230
Muon  0.000000  0.000000  0.760076
Pion  1.000000  1.000000  0.999908
Muon  0.000000  0.000000  0.948963
Muon  0.000000  1.000000  0.615542
Pion  1.000000  1.000000  0.997735
Muon  0.000000  0.000000  0.865633
Muon  0.000000  0.000000  0.704676
Muon  0.000000  0.000000  0.749902
Pion  1.000000  1.000000  0.983496
Pion  1.000000  1.000000  0.984499
Muon  0.000000  0.000000  0.832161
Pion  1.000000  1.000000  0.988977
Pion  1.000000  1.000000  0.751961
Muon  0.000000  0.000000  0.932751
Pion  1.000000  1.000000  0.993537
Pion  1.000000  1.000000  0.993611
Muon  0.000000  0.000000  0.783225
Muon  0.000000  0.000000  0.821220
Muon  0.000000  0.000000  0.930484
Pion  1.000000  1.000000  0.984403
Pion  1.000000  1.000000  0.993719
Muon  0.000000  0.000000  0.880039
Pion  1.000000  1.000000  0.999974
Muon  0.000000  0.000000  0.919867
Pion  1.000000  1.000000  0.999994
Muon  0.000000  0.000000  0.945660
Muon  0.000000  0.000000  0.795894
Muon  0.000000  0.000000  0.958739
Pion  1.000000  1.000000  0.648793
Pion  1.000000  0.000000  0.907575
Pion  1.000000  1.000000  0.999335
Pion  1.000000  1.000000  0.614855
Muon  0.000000  0.000000  0.945016
Pion  1.000000  1.000000  0.901808
Pion  1.000000  1.000000  0.997857
Muon  0.000000  0.000000  0.958360
Pion  1.000000  1.000000  0.999610
Muon  0.000000  0.000000  0.716960
Muon  0.000000  0.000000  0.857737
Pion  1.000000  1.000000  0.903126
Pion  1.000000  1.000000  0.993204
Muon  0.000000  0.000000  0.905835
Muon  0.000000  1.000000  0.845365
Muon  0.000000  0.000000  0.834771
Pion  1.000000  1.000000  0.960728
Muon  0.000000  1.000000  0.800892
Muon  0.000000  0.000000  0.762960
Pion  1.000000  0.000000  0.836820
Muon  0.000000  1.000000  0.628988
Pion  1.000000  1.000000  0.997166
Pion  1.000000  1.000000  0.998802
Muon  0.000000  0.000000  0.955688
Pion  1.000000  1.000000  0.712879
Muon  0.000000  0.000000  0.957790
Pion  1.000000  1.000000  0.771573
Pion  1.000000  1.000000  0.965657
Pion  1.000000  1.000000  0.992977
Pion  1.000000  1.000000  0.998924
Muon  0.000000  0.000000  0.957757
Pion  1.000000  1.000000  0.999494
Pion  1.000000  1.000000  0.732527
Pion  1.000000  1.000000  0.999632
Pion  1.000000  1.000000  0.983995
Pion  1.000000  1.000000  0.997153
Pion  1.000000  1.000000  0.999630
Muon  0.000000  0.000000  0.828061
Pion  1.000000  0.000000  0.732194
Muon  0.000000  0.000000  0.925306
Pion  1.000000  1.000000  0.999975
Muon  0.000000  0.000000  0.883509
Muon  0.000000  0.000000  0.914162
Pion  1.000000  1.000000  0.939523
Muon  0.000000  0.000000  0.733118
Pion  1.000000  0.000000  0.700236
