Subrun Event Type process ystart yend ydiff length Eng Michel
349 17401 Muon 1 -66.5704 -54.1324 12.438 36.5056 0.229711 0
349 17401 Muon 1 -66.6113 -68.9952 2.38385 5.31865 0.229711 0
349 17403 Muon 1 56.8923 61.4983 4.60601 5.16533 0.13663 0
349 17404 Muon 1 -26.6256 -16.4213 10.2043 37.6303 0.292225 0
349 17405 Muon 1 117.405 40.9532 76.452 109.553 1.07078 0
349 17406 Muon 1 87.6375 117.463 29.8255 30.2433 1.27837 0
349 17408 Muon 1 82.2906 117.456 35.1652 73.5019 1.69879 0
349 17409 Muon 1 104.312 76.6134 27.6981 276.494 1.69746 0
349 17409 Muon 1 104.106 105.403 1.29655 5.01551 1.69746 0
349 17410 Muon 1 76.9503 97.0662 20.1159 48.9055 0.421183 0
349 17412 Muon 1 -87.3047 -109.375 22.0707 111.795 0.849207 0
349 17413 Muon 1 -104.066 -94.4068 9.65952 49.2197 0.245021 0
349 17414 Muon 1 117.443 -89.0429 206.486 309.704 0.902733 0
349 17415 Muon 1 -38.4727 -80.1687 41.696 60.4741 0.832749 0
349 17416 Muon 1 104.697 -21.911 126.608 259.112 1.64662 0
349 17417 Muon 1 98.2951 -2.23799 100.533 159.654 1.80162 0
349 17418 Muon 1 -49.9284 117.672 167.601 204.04 1.49108 0
349 17421 Muon 1 66.9588 66.4435 0.515312 42.3089 1.87837 0
349 17421 Muon 1 66.8856 69.2594 2.37384 2.4536 1.87837 0
349 17422 Muon 1 117.043 -83.5286 200.572 317.08 1.01838 0
349 17423 Muon 1 -69.8238 -39.6538 30.17 45.3313 0.770549 0
349 17424 Muon 1 -115.354 -64.141 51.2127 71.4329 0.929298 0
349 17425 Muon 1 -4.15667 0.98047 5.13714 24.4111 0.192102 0
349 17426 Muon 1 26.2785 71.3333 45.0548 64.8754 0.536778 0
349 17427 Muon 1 111.478 17.9935 93.4844 101.482 0.648612 0
349 17428 Muon 1 -92.0814 -70.8171 21.2643 341.047 1.8745 0
349 17429 Muon 1 98.5861 6.11941 92.4666 120.937 1.46174 0
349 17430 Muon 1 -115.574 6.86202 122.436 134.196 1.82677 0
349 17431 Muon 1 27.2732 26.297 0.976257 4.65975 0.469692 0
349 17432 Muon 1 117.394 18.5274 98.8663 109.975 1.06997 0
349 17433 Muon 1 105.832 74.9441 30.8875 94.938 1.45406 0
349 17434 Muon 1 54.514 46.8772 7.63686 12.7467 0.217086 0
349 17435 Muon 1 87.5433 88.1105 0.567207 6.12875 1.24919 0
349 17436 Muon 1 43.6291 -69.3947 113.024 287.036 1.94043 0
349 17437 Muon 1 -33.9592 35.5355 69.4946 675.06 1.81681 0
349 17437 Muon 1 -33.9641 -37.3112 3.34716 67.0199 1.81681 0
349 17438 Muon 1 70.0239 -10.2686 80.2925 361.5 0.918701 0
349 17440 Muon 1 96.878 96.1116 0.766487 13.1802 0.309127 0
349 17441 Muon 1 -66.9172 -50.4597 16.4575 114.938 1.0404 0
349 17445 Muon 1 91.6094 117.369 25.7593 33.9331 0.520598 0
349 17449 Muon 1 14.919 117.047 102.128 183.924 1.66027 0
366 18251 Muon 1 -109.261 -43.8791 65.3815 98.3169 0.570502 0
366 18253 Muon 1 -96.0173 -115.342 19.3251 22.8692 1.58953 0
