Subrun Event Type ystart yend ydiff length Eng Michel
396 19751 Pion -77.4873 -82.8643 5.37695 122.984 1.89864 0
396 19753 Pion 117.579 56.2635 61.3158 66.449 0.910079 0
396 19754 Pion -108.881 -90.379 18.5022 59.8185 1.37473 0
396 19755 Pion -31.7282 -1.00071 30.7275 49.5733 0.896476 0
396 19758 Pion -7.95953 -27.6079 19.6484 30.2171 1.77975 0
396 19760 Pion -85.6368 -113.885 28.2484 29.3615 1.23119 0
396 19761 Pion -33.8045 24.0392 57.8437 69.4401 1.16375 0
396 19763 Pion 6.68571 -10.1761 16.8618 30.0238 1.70332 0
396 19766 Pion 42.2781 41.0247 1.25339 11.7591 0.250964 0
396 19770 Pion 100.211 -5.58254 105.793 144.533 0.845335 0
396 19771 Pion -36.5244 -64.8708 28.3464 63.0106 0.323499 0
396 19772 Pion 13.8291 12.1609 1.66817 4.39269 0.188036 0
396 19773 Pion 71.1595 54.3704 16.7892 100.126 0.398771 0
396 19777 Pion 57.0304 84.8919 27.8616 61.5546 0.931865 0
396 19778 Pion 13.1943 2.56078 10.6336 16.6599 0.319449 0
396 19779 Pion -16.5116 -20.0084 3.49684 12.8203 0.23628 0
396 19782 Pion 11.9726 87.2962 75.3236 81.9718 1.92443 0
396 19783 Pion -7.55861 -8.91249 1.35388 24.5737 0.52408 0
396 19784 Pion -60.7015 2.33748 63.039 136.147 1.38484 0
396 19785 Pion 94.144 86.2018 7.94223 32.1919 1.25655 0
396 19786 Pion -53.8135 -65.7492 11.9356 17.1802 1.76827 0
396 19788 Pion 56.7212 -12.3249 69.0461 97.4475 0.511141 0
396 19789 Pion -65.769 -66.7105 0.941513 16.7753 0.224957 0
396 19790 Pion 68.9648 86.0783 17.1134 20.5182 0.929967 0
396 19792 Pion -20.1035 -72.3581 52.2545 66.4878 0.683359 0
396 19794 Pion -33.8777 -27.9806 5.89714 8.56092 0.81047 0
396 19797 Pion -15.1179 -28.939 13.821 22.1499 1.66219 0
396 19799 Pion -43.088 -115.352 72.2641 84.3549 1.98311 0
197 9803 Pion -79.8429 -78.1077 1.73524 26.4823 0.643054 0
197 9804 Pion 80.4934 81.6031 1.1097 27.9801 0.413734 0
197 9805 Pion 61.0029 33.399 27.6039 61.5337 0.396664 0
197 9805 Pion 90.1715 61.2436 28.9279 37.5738 0.396664 0
197 9808 Pion 72.1872 53.2115 18.9757 63.7493 1.37253 0
197 9809 Pion -41.4912 -46.7164 5.22517 10.1306 0.19367 0
197 9810 Pion -78.6871 -84.8727 6.18562 14.6922 1.14908 0
197 9811 Pion 49.8251 10.0158 39.8093 183.134 1.71207 0
197 9812 Pion -85.4163 -91.0007 5.58443 22.2275 0.574152 0
197 9813 Pion 33.2303 97.9251 64.6947 78.738 0.812237 0
197 9814 Pion 86.6037 87.516 0.912331 34.7615 0.704288 0
197 9816 Pion -1.54749 -30.75 29.2025 51.09 1.30029 0
197 9821 Pion -60.6222 -56.6334 3.98883 5.18485 0.318799 0
197 9822 Pion 60.4768 38.5556 21.9212 89.7123 1.15657 0
